date,open,high,low,close,adj_close,volume,symbol,currency,ret,log_ret
17-09-2024,4513.25,4535.8,4466,4505.65,4343.6,1699364,Sun Pharmaceutical Industries L,INR,-0.001683931,-0.00168535
18-09-2024,4497.05,4497.05,4321,4346.15,4189.83,2961779,Sun Pharmaceutical Industries L,INR,-0.035399998,-0.036041769
19-09-2024,4390.05,4422.2,4281.8,4296.15,4141.63,2927551,Sun Pharmaceutical Industries L,INR,-0.011504435,-0.011571123
20-09-2024,4316.9,4330.7,4227.5,4284.9,4130.78,5447908,Sun Pharmaceutical Industries L,INR,-0.002618624,-0.002622058
23-09-2024,4300,4309.4,4253,4268.5,4114.98,1702319,Sun Pharmaceutical Industries L,INR,-0.003827394,-0.003834737
24-09-2024,4251.65,4291,4240,4271.3,4117.67,3012026,Sun Pharmaceutical Industries L,INR,0.0006559681386903993,0.0006557530856294846
25-09-2024,4252.35,4289.6,4240,4274.75,4121,2713073,Sun Pharmaceutical Industries L,INR,0.0008077166202327124,0.0008073905927101777
26-09-2024,4260,4316.8,4260,4292.5,4138.11,3964251,Sun Pharmaceutical Industries L,INR,0.004152289607579407,0.004143692642928798
27-09-2024,4335,4378,4300.05,4308.7,4153.73,3012477,Sun Pharmaceutical Industries L,INR,0.0037740244612696205,0.0037669206985260217
30-09-2024,4286.9,4298.75,4260.05,4268.5,4114.98,2503416,Sun Pharmaceutical Industries L,INR,-0.00932996,-0.009373757
01-10-2024,4255.55,4295.75,4242.95,4287.9,4133.68,1823365,Sun Pharmaceutical Industries L,INR,0.004544922103783433,0.004534625132817993
03-10-2024,4262.6,4279,4210,4232.75,4080.51,3350119,Sun Pharmaceutical Industries L,INR,-0.012861774,-0.012945203
04-10-2024,4225,4298,4224.05,4252.25,4099.31,2965463,Sun Pharmaceutical Industries L,INR,0.004606934026342158,0.004596354585860496
07-10-2024,4273.9,4297.25,4229.4,4272.85,4119.17,1472619,Sun Pharmaceutical Industries L,INR,0.004844494091363449,0.004832797291369317
08-10-2024,4272.6,4279.4,4203.95,4253.25,4100.27,1541867,Sun Pharmaceutical Industries L,INR,-0.004587102,-0.004597655
09-10-2024,4260,4295,4246.7,4252.95,4099.98,1082504,Sun Pharmaceutical Industries L,INR,-7.05E-05,-7.05E-05
10-10-2024,4253.25,4293.85,4198.6,4227.4,4075.35,2378875,Sun Pharmaceutical Industries L,INR,-0.006007595,-0.006025713
11-10-2024,4143,4241.95,4112.45,4149.2,3999.97,5759183,Sun Pharmaceutical Industries L,INR,-0.018498368,-0.018671602
14-10-2024,4140,4165.4,4122.2,4136.65,3987.87,2137590,Sun Pharmaceutical Industries L,INR,-0.003024679,-0.003029263
15-10-2024,4131.05,4169.95,4095,4116.8,3968.73,2759474,Sun Pharmaceutical Industries L,INR,-0.004798569,-0.004810119
16-10-2024,4085,4115,4067.2,4094.95,3947.67,2359151,Sun Pharmaceutical Industries L,INR,-0.00530752,-0.005321655
17-10-2024,4112.8,4129.95,4092.95,4109,3961.21,2522659,Sun Pharmaceutical Industries L,INR,0.003431055324240928,0.003425182682994077
18-10-2024,4090,4146.15,4080,4123.05,3984.45,2361000,Sun Pharmaceutical Industries L,INR,0.0034193234363593117,0.0034134908418810284
18-10-2024,10 Dividend,,,,,,Sun Pharmaceutical Industries L,INR,,
21-10-2024,4132.6,4139.95,4070,4079.85,3942.71,1595450,Sun Pharmaceutical Industries L,INR,,
22-10-2024,4066,4089.8,4006.35,4015.5,3880.52,1928049,Sun Pharmaceutical Industries L,INR,-0.015772639,-0.01589835
23-10-2024,3999.6,4113.55,3995.15,4066.25,3929.56,1966476,Sun Pharmaceutical Industries L,INR,0.012638525712862725,0.012559326159044204
24-10-2024,4004,4079,4004,4047.9,3911.83,2676744,Sun Pharmaceutical Industries L,INR,-0.004512757,-0.004522971
